dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3699,2018-05-30T06:00:11Z,parking,43.46357988,-3.797238466,1,http://datos.santander.es/api/datos/sensores_smart_parking/3699.csv
3800,2018-05-28T08:06:39Z,parking,43.462863911,-3.799538836,1,http://datos.santander.es/api/datos/sensores_smart_parking/3800.csv
3799,2018-05-28T08:06:32Z,parking,43.462904794,-3.7995442,0,http://datos.santander.es/api/datos/sensores_smart_parking/3799.csv
3801,2018-05-28T08:03:54Z,parking,43.462820108,-3.799528778,1,http://datos.santander.es/api/datos/sensores_smart_parking/3801.csv
3802,2018-05-28T08:03:02Z,parking,43.462761704,-3.799518049,1,http://datos.santander.es/api/datos/sensores_smart_parking/3802.csv
3803,2018-05-28T08:01:53Z,parking,43.46271498,-3.799510002,1,http://datos.santander.es/api/datos/sensores_smart_parking/3803.csv
3798,2018-05-28T07:51:26Z,parking,43.463131948,-3.799587097,0,http://datos.santander.es/api/datos/sensores_smart_parking/3798.csv
3826,2018-05-28T05:05:43Z,parking,43.46271352,-3.799576387,1,http://datos.santander.es/api/datos/sensores_smart_parking/3826.csv
3825,2018-05-28T05:05:02Z,parking,43.462758783,-3.799583763,1,http://datos.santander.es/api/datos/sensores_smart_parking/3825.csv
3824,2018-05-28T05:04:24Z,parking,43.462803073,-3.79959248,1,http://datos.santander.es/api/datos/sensores_smart_parking/3824.csv
3823,2018-05-28T05:03:04Z,parking,43.462844443,-3.799601197,1,http://datos.santander.es/api/datos/sensores_smart_parking/3823.csv
3822,2018-05-28T05:00:08Z,parking,43.462884839,-3.799608573,1,http://datos.santander.es/api/datos/sensores_smart_parking/3822.csv
3821,2018-05-28T04:56:56Z,parking,43.463124161,-3.799650799,1,http://datos.santander.es/api/datos/sensores_smart_parking/3821.csv
3820,2018-05-28T04:43:58Z,parking,43.463174777,-3.799659517,1,http://datos.santander.es/api/datos/sensores_smart_parking/3820.csv
3625,2018-05-26T07:20:41Z,parking,43.463054697,-3.801886439,1,http://datos.santander.es/api/datos/sensores_smart_parking/3625.csv
3847,2018-05-26T04:56:56Z,parking,43.464030034,-3.79721269,0,http://datos.santander.es/api/datos/sensores_smart_parking/3847.csv
3648,2018-05-16T06:48:16Z,parking,43.463255703,-3.799819127,0,http://datos.santander.es/api/datos/sensores_smart_parking/3648.csv
3647,2018-05-16T06:44:57Z,parking,43.46324889,-3.79987143,1,http://datos.santander.es/api/datos/sensores_smart_parking/3647.csv
3637,2018-05-16T06:42:23Z,parking,43.4631973,-3.800435364,0,http://datos.santander.es/api/datos/sensores_smart_parking/3637.csv
3638,2018-05-16T06:41:18Z,parking,43.463205574,-3.80036965,1,http://datos.santander.es/api/datos/sensores_smart_parking/3638.csv
3646,2018-05-16T06:39:41Z,parking,43.463243536,-3.799929768,0,http://datos.santander.es/api/datos/sensores_smart_parking/3646.csv
3639,2018-05-16T06:38:34Z,parking,43.463202653,-3.800324723,0,http://datos.santander.es/api/datos/sensores_smart_parking/3639.csv
3640,2018-05-16T06:37:16Z,parking,43.463209467,-3.800277784,0,http://datos.santander.es/api/datos/sensores_smart_parking/3640.csv
3642,2018-05-16T06:33:20Z,parking,43.463220175,-3.800171167,0,http://datos.santander.es/api/datos/sensores_smart_parking/3642.csv
3635,2018-05-16T06:25:20Z,parking,43.46314571,-3.800924867,1,http://datos.santander.es/api/datos/sensores_smart_parking/3635.csv
